profil_adi,kayit_ay,tarif_sayisi,takipci,takip,sehir,eslesen_sehir
ceylannnne,3.0,25.0,19.0,0.0,balıkesir,Balıkesir
taytukk,110.0,63.0,89.0,8.0,düzce,Düzce
Zeynepyny,1.0,2.0,1.0,0.0,şanlıurfa,Şanlıurfa
kubracaglar_3710,1.0,6.0,11.0,19.0,ankara,Ankara
serifeevran,20.0,4.0,10.0,7.0,eski̇şehi̇r,Eskişehir
Mine_Salgam,90.0,23.0,47.0,15.0,bursa,Bursa
yemekoburu,102.0,31.0,33.0,9.0,ankara,Ankara
inc,7.0,5.0,11.0,24.0,i̇stanbul,İstanbul
OsmanTopcu,61.0,2.0,3.0,3.0,i̇stanbul,İstanbul
burcuflavorjourney,9.0,11.0,21.0,10.0,çorum,Çorum
burcunun_mutfagiii,41.0,55.0,92.0,18.0,ankara,Ankara
nesrinbelge_6421,29.0,7.0,14.0,2.0,hatay,Hatay
esrdmr2727,37.0,10.0,20.0,27.0,gazi̇antep,Gaziantep
senasavun,6.0,14.0,23.0,7.0,sakarya,Sakarya
fehimeuzer,14.0,12.0,8.0,0.0,aydin,Aydın
simgeesonmez,4.0,3.0,13.0,3.0,i̇stanbul,İstanbul
Tugce_Drms,39.0,17.0,22.0,6.0,elaziğ,Elazığ
Semo,132.0,38.0,32.0,11.0,di̇yarbakir,Diyarbakır
sahanesunumlarr,94.0,93.0,949.0,200.0,batman,Batman
nuraydeniz3284,64.0,34.0,191.0,6.0,konya,Konya
evimkahvemkeyfim,4.0,9.0,19.0,14.0,mersi̇n,Mersin
Yesim_Calis2,78.0,11.0,6.0,1.0,adiyaman,Adıyaman
Dagcan_Ulutas,108.0,138.0,848.0,3181.0,ankara,Ankara
didemhamarat5771,87.0,3.0,5.0,11.0,i̇stanbul,İstanbul
akmaninmutfagi,78.0,42.0,64.0,5.0,i̇stanbul,İstanbul
ftmkbrdgn,101.0,41.0,31.0,15.0,elaziğ,Elazığ
zumrutcan,57.0,9.0,8.0,2.0,i̇stanbul,İstanbul
ozanbudakoglu,7.0,17.0,33.0,2.0,muğla,Muğla
rubarr,74.0,6.0,5.0,6.0,i̇stanbul,İstanbul
Gulsah_Aslan9,54.0,12.0,6.0,2.0,van,Van
Gozde_Ayaz3,90.0,14.0,17.0,10.0,i̇zmi̇r,İzmir
Bahriye_Kose2,103.0,23.0,16.0,4.0,bursa,Bursa
seymaeroglu351,113.0,46.0,49.0,2.0,i̇stanbul,İstanbul
zeynep_demirelli7084,20.0,18.0,3.0,1.0,i̇stanbul,İstanbul
edakrbnr,83.0,58.0,25.0,2.0,deni̇zli̇,Denizli
yaprakzaric_altunkaynak,10.0,3.0,7.0,0.0,ankara,Ankara
Ruveyda_Agcakala,107.0,27.0,24.0,7.0,kahramanmaraş,Kahramanmaraş
bedriyekrky,119.0,34.0,24.0,2.0,hatay,Hatay
Duygu_TasGunduz,95.0,169.0,160.0,3.0,kocaeli̇,Kocaeli
Sevda_Altun6,59.0,6.0,13.0,0.0,bursa,Bursa
nytuser_aysegultataroglu_0216,8.0,13.0,9.0,27.0,i̇stanbul,İstanbul
sultancetil,53.0,17.0,23.0,7.0,i̇stanbul,İstanbul
nazli9898,61.0,11.0,17.0,15.0,bursa,Bursa
Tugce_Gormus2,66.0,18.0,12.0,2.0,mersi̇n,Mersin
tugbacukuryurt8402,97.0,25.0,23.0,24.0,i̇stanbul,İstanbul
goog_87f1d3cfcce1,48.0,7.0,4.0,5.0,şanliurfa,Şanlıurfa
Secil_UstunErguven2,88.0,12.0,6.0,2.0,ni̇ğde,Niğde
nytuser_ecegoktepe_5580,15.0,35.0,11.0,5.0,i̇zmi̇r,İzmir
uzayinboslugu,62.0,33.0,45.0,6.0,i̇stanbul,İstanbul
nytuser_hilalmarasli_0912,17.0,2.0,1.0,6.0,i̇stanbul,İstanbul
topraksevcan,28.0,17.0,17.0,12.0,malatya,Malatya
kubraozturk_3192,29.0,4.0,2.0,1.0,i̇stanbul,İstanbul
aysenurfiliz,50.0,3.0,6.0,2.0,ankara,Ankara
nytuser_nurturan_3176,50.0,5.0,4.0,1.0,i̇stanbul,İstanbul
SedatNeriman_Aktas,119.0,21.0,26.0,24.0,ri̇ze,Rize
sehererendor,71.0,73.0,130.0,16.0,gazi̇antep,Gaziantep
esra_rengizTarifler,14.0,3.0,2.0,4.0,i̇zmi̇r,İzmir
Oznur_Budak3,62.0,4.0,2.0,3.0,antalya,Antalya
nytuser_betululusoy_1136,25.0,4.0,1.0,1.0,bursa,Bursa
elmsflkc,91.0,126.0,189.0,0.0,aksaray,Aksaray
AyseNur_Sonmez3,95.0,3.0,2.0,0.0,gi̇resun,Giresun
nytuser_filizizci_7670,17.0,7.0,3.0,0.0,şanliurfa,Şanlıurfa
goog_5de041e8f518,32.0,10.0,5.0,4.0,sakarya,Sakarya
_sumeyye_,16.0,7.0,3.0,1.0,i̇zmi̇r,İzmir
Aylin_Arikan,125.0,149.0,363.0,24.0,i̇stanbul,İstanbul
TCSeval_Berberoglu,113.0,39.0,43.0,1.0,kocaeli̇,Kocaeli
nilaykaplan65,16.0,5.0,4.0,4.0,ağri,Ağrı
zeyneptengelenler04_65,17.0,14.0,33.0,1.0,van,Van
ferdaatal_3240,36.0,12.0,4.0,7.0,si̇i̇rt,Siirt
seherkosee,123.0,44.0,185.0,3.0,kayseri̇,Kayseri
cansuarslan,119.0,67.0,55.0,8.0,gi̇resun,Giresun
