profil_adi,kayit_ay,tarif_sayisi,takipci,takip,sehir
Asena_Doru,85,9.0,6,8,sakarya
aayseavcii,64,23.0,49,40,antalya
lngkwgirl,112,143.0,638,93,i̇stanbul
Mecit_Korkmaz,57,7.0,2,3,gazi̇antep
tatlisanati,88,190.0,1914,3,i̇stanbul
merveyysr,56,11.0,4,0,i̇stanbul
tcavdaroglu,110,1.0,2,1,trabzon
sumeyyenurerden,62,116.0,106,1,afyon
Sule_AkarsuKoroglu,126,8.0,2,0,aydin
Guzide_OrenAkdeniz,59,155.0,147,3,muğla
Damla_Lale,73,33.0,22,4,teki̇rdağ
dudusel,64,13.0,13,14,
saredemirel,57,8.0,28,27,
Nesibe_Alniacik2,109,65.0,769,202,i̇stanbul
Leyla_DalkiranElmakas,102,482.0,977,9,antalya
2017asel,58,16.0,16,13,bursa
aslibalac1985,60,259.0,475,0,i̇stanbul
Huma_Kan,57,6.0,10,5,
gizemderici,60,77.0,73,9,i̇stanbul
hazaltasdemir1768,57,11.0,25,14,
Fadime_Surucu3,108,23.0,128,19,adana
hertanem97,92,2.0,4,11,
Ercan_Baskil,100,65.0,54,17,i̇zmi̇r
TarihciGizem,109,110.0,92,2,eski̇şehi̇r
merveeete,66,22.0,26,2,ankara
meraldevelioglu,104,126.0,154,99,konya
ozlemesk,66,11.0,3,2,
IlyasEmine_Tasdemir,105,23.0,13,3,kars
yanmutfaktanhilal,62,27.0,46,1,
kadriyetutarsoydan,89,116.0,92,26,i̇stanbul
Ilknur_AlhanKiris,100,61.0,62,3,ankara
eslemin_lezzet_dunyasi,133,394.0,2347,19,kocaeli̇
arsensubulut,61,87.0,128,72,teki̇rdağ
ezalez,60,3.0,10,13,
gul78,130,65.0,58,12,konya
NutkuyaHsn_Cokakil,101,95.0,624,16,konya
sohret21,60,2.0,4,1,di̇yarbakir
neslihansemih,105,687.0,2009,7,kocaeli̇
melikeevran,59,27.0,25,5,eski̇şehi̇r
eminenurgundogan9006,59,17.0,58,104,konya
Kubra_Cinar2,124,7.0,19,25,
rabiaatar54,62,34.0,41,0,sakarya
Farma_Si,104,4.0,13,3,
Ilknur_Akbulut2,70,15.0,33,3,teki̇rdağ
Sevgi_Altindas,111,53.0,38,10,şanliurfa
bedia4258,66,136.0,354,4,si̇vas
k-cansu,105,49.0,162,37,i̇stanbul
feyza3404,61,29.0,62,102,
mukime,107,237.0,125,84,kocaeli̇
Dilek_YalabikKocabiyik,134,7.0,10,8,
fcigdem,84,26.0,18,7,ankara
klnhandan,60,43.0,64,14,yurtdişi
OznurOzlem_Dogan,120,9.0,6,5,yurtdişi
Sinem_Genc8,80,116.0,89,32,i̇stanbul
acieksi,60,34.0,162,28,yurtdişi
ruhan1977,65,43.0,745,400,ankara
seraphazan,79,303.0,197,33,bolu
Kubra_OzaydinTure,129,295.0,9712,48,amasya
seyhanerturkuner9696,83,225.0,1061,28,i̇stanbul
hamiytzynp,119,65.0,62,0,ankara
emineaynal,62,14.0,82,117,konya
Hilal_Cucen,60,10.0,9,9,si̇vas
Yasemin_Umut2,124,52.0,109,7,
Deryadan_Lezzetler,62,64.0,32,8,i̇stanbul
lemanuckun,60,11.0,18,1,muğla
elifecem413510,79,9.0,10,10,
gznur96,69,13.0,128,175,konya
gamzelitarif,67,56.0,24,8,erzi̇ncan
bebk,87,21.0,53,46,ankara
dildemm,80,38.0,74,0,
gkckdr,122,22.0,24,1,mersi̇n
aslihannduran,90,5.0,8,7,
oykua,62,8.0,7,7,ankara
name20,93,14.0,30,45,yurtdişi
beceriklimiyim,119,31.0,29,4,
sevimtuncel1,61,12.0,43,41,bi̇ngöl
mervekrshn,63,21.0,73,6,malatya
Feride_Ozbey2,108,262.0,362,11,uşak
alparslannkurt,60,6.0,48,15,i̇stanbul
sultann42,85,127.0,1150,12,konya
zeynebinsunumu,62,8.0,4,1,
s7452,86,108.0,218,21,gi̇resun
Gazi_Altinoluk,87,36.0,13,19,antalya
Serdem_Buglem,125,57.0,124,2,i̇stanbul
nurceren42,85,18.0,49,76,konya
nurtenbingol,96,106.0,135,164,i̇stanbul
Fulya-Ercan,138,12.0,31,40,i̇stanbul
Nihal-Tunc,119,9.0,9,10,
aysenurchef,60,16.0,82,11,ankara
Sumeyye_Solmaz2,75,2.0,2,3,
Aybuke_Durak3,90,98.0,181,24,ankara
nurunsunumu,91,13.0,37,64,erzi̇ncan
Zuleyha_Adali,60,41.0,298,3,
nevilyilmaz,61,33.0,446,88,bursa
kubrakoc5959,60,4.0,6,10,kütahya
mutfakeylul,64,260.0,2472,2635,i̇stanbul
Miray_Genc,110,21.0,12,5,
edacglr,61,10.0,98,61,çorum
Yasemin_Ozturk84,67,3.0,4,17,
caferalp123,87,4.0,15,31,i̇stanbul
Cileklievreceli,127,8.0,7,10,
hayatsaglam,146,324.0,927,11,i̇zmi̇r
Zeynep_Danis4,93,20.0,21,22,si̇i̇rt
Ferhat_Ozkan5,96,4.0,2,0,
aysenurmuhammed18,84,8.0,14,1,i̇stanbul
smpek,62,16.0,75,25,kirikkale
srkyayse,74,10.0,22,17,kahramanmaraş
hande9884,74,36.0,33,1,hatay
Guler_Ozaslan,67,2.0,15,34,i̇stanbul
irem002,75,2.0,6,0,i̇stanbul
aslhancalezzetler,62,18.0,7,6,
semaakkan,84,41.0,128,204,afyon
herteldenmutfak,61,1.0,0,0,
tubisinnmutfagi,68,14.0,29,13,ankara
seredaser,126,20.0,23,5,konya
busranngozunden,62,5.0,0,2,teki̇rdağ
kbra44,137,56.0,61,4,yurtdişi
Hb_Aslan,65,9.0,8,5,ankara
begumcag,61,2.0,2,2,
seymakzl,96,16.0,13,18,şanliurfa
feyzademez,61,40.0,260,396,i̇stanbul
dilaciftci2008,61,3.0,2,2,
gizem7883,61,30.0,4,1,
Ceyda_Uzun2,111,340.0,610,9,i̇stanbul
Seda_Ozdemir13,120,213.0,387,165,malatya
haticedursunoglu,78,8.0,9,41,i̇stanbul
Gamze_Aydin13,120,5.0,0,2,i̇stanbul
halimesngrr,61,4.0,38,67,mardi̇n
Rabia_Amatli,94,4.0,0,2,
mrs-syfl,104,18.0,38,62,ankara
YarenNur_Caymaz,76,39.0,69,122,aydin
Onder_Dag,124,34.0,121,25,antalya
Busra_Erbey,62,12.0,9,9,i̇stanbul
malatyasirin,124,16.0,26,17,
serpilciraci,97,21.0,10,6,i̇stanbul
